2026-08-31 18:01:19,086 | INFO | Configuration complete
2026-08-31 18:01:19,087 | INFO | Training Script Started
2026-08-31 18:01:19,233 | INFO | Dataset loaded with shape (7043, 21)
2026-08-31 18:01:19,273 | INFO | ID column customerID dropped due to unimportance
2026-08-31 18:01:19,284 | INFO | TotalCharges Column changed to numeric and space values became NaN
2026-08-31 18:01:19,288 | INFO | Target column Churn has been mapped to numeric values 0 and 1
2026-08-31 18:01:19,512 | INFO | Lists of different features created
2026-08-31 18:01:19,513 | INFO | Preprocessing structure created
2026-08-31 18:01:19,513 | INFO | Model Pipeline created
2026-08-31 18:01:19,613 | INFO | Training script failed: Input X contains NaN.
LogisticRegression does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values
2026-08-31 18:09:14,583 | INFO | Configuration complete
2026-08-31 18:09:14,603 | INFO | Training Script Started
2026-08-31 18:09:14,722 | INFO | Dataset loaded with shape (7043, 21)
2026-08-31 18:09:14,724 | INFO | ID column customerID dropped due to unimportance
2026-08-31 18:09:14,735 | INFO | TotalCharges Column changed to numeric and space values became NaN
2026-08-31 18:09:14,739 | INFO | Target column Churn has been mapped to numeric values 0 and 1
2026-08-31 18:09:14,896 | INFO | Lists of different features created
2026-08-31 18:09:14,897 | INFO | Preprocessing structure created
2026-08-31 18:09:14,897 | INFO | Model Pipeline created
2026-08-31 18:09:23,400 | INFO | Model training complete
2026-08-31 18:09:23,655 | INFO | None
2026-08-31 18:09:23,655 | INFO | Model Training evaluation visualized
2026-08-31 18:09:23,677 | INFO | Model saved to C:\Users\HP\Desktop\MY PROJECTS\Telco_cust_churn\model_dir\telco_logReg_model_pipeline.joblib
2026-08-31 18:09:23,678 | INFO | Training script finished
2026-08-31 18:10:46,991 | INFO | Configuration complete
2026-08-31 18:10:46,992 | INFO | Training Script Started
2026-08-31 18:10:47,052 | INFO | Dataset loaded with shape (7043, 21)
2026-08-31 18:10:47,054 | INFO | ID column customerID dropped due to unimportance
2026-08-31 18:10:47,060 | INFO | TotalCharges Column changed to numeric and space values became NaN
2026-08-31 18:10:47,065 | INFO | Target column Churn has been mapped to numeric values 0 and 1
2026-08-31 18:10:47,140 | INFO | Lists of different features created
2026-08-31 18:10:47,141 | INFO | Preprocessing structure created
2026-08-31 18:10:47,142 | INFO | Model Pipeline created
2026-08-31 18:10:48,854 | INFO | Model training complete
2026-08-31 18:10:48,951 | INFO | None
2026-08-31 18:10:48,952 | INFO | Model Training evaluation visualized
2026-08-31 18:10:48,960 | INFO | Model saved to C:\Users\HP\Desktop\MY PROJECTS\Telco_cust_churn\model_dir\telco_logReg_model_pipeline.joblib
